epoch,acc,loss,val_acc,val_loss
0,0.8945285660410499,0.3437976103137602,0.6342584083808124,1.652514304937663
1,0.962462997690746,0.12740940559746536,0.6669729829075538,1.841440671847774
2,0.9776927090598184,0.07954026093898296,0.5888163940452122,2.361629643669036
3,0.9851577473665721,0.05693876083622971,0.6070575261900386,2.372325311219253
4,0.9895024513222676,0.04447631433331556,0.6092170556882925,2.4924987792377196
5,0.9918323698526107,0.03671723537536608,0.6161551185443852,2.5117552568891255
6,0.9934286998434667,0.03184932522400355,0.6422532622679654,2.7675694474042216
7,0.9943276041101623,0.028510387916566533,0.6322826686270906,2.7838035445380322
8,0.9952213422603826,0.026511249820636868,0.6343043558169454,2.954847127922185
9,0.9956501299278293,0.0249162695559685,0.6164308031611836,2.932405701310382
10,0.9959859274987214,0.023786447660308713,0.6448722661275501,2.7494965351952323
11,0.9961512432259297,0.02321705248177832,0.6548428597684249,2.995540399392945
12,0.9962855622542865,0.022501059039449815,0.6192335967653005,3.083008872787387
13,0.9966575226405054,0.021736735875179606,0.6030600992464621,3.142989290289018
14,0.9965800308933765,0.021970765399458712,0.6277798198860504,3.094532794296157
15,0.9966316920581292,0.02154256443270463,0.662056607241316,2.9085923244646397
16,0.9969106623477932,0.020796115559322956,0.6406451020033083,3.0406552409752177
17,0.9974479384612206,0.01970323335233733,0.6378423083991913,3.219193341579864
18,0.997199964870408,0.020331849058835567,0.6288825583532439,3.192187343591075
19,0.9974324401117948,0.019776742040182562,0.6496507994853887,2.991494711022225
20,0.9973756128305669,0.01976678456602525,0.6177173313729094,3.2478995184710038
