sensor_id,sensor_name,micro_auprc,micro_f1,macro_auprc
0,'b827eb0d8af7',0.729081190215768,0.49361702127659574,0.3749601905917599
3,'b827eb132382',0.7023020008185502,0.5040214477211796,0.3949144784579842
4,'b827eb1685c7',0.6290241717701646,0.487603305785124,0.6609541164348224
5,'b827eb252949',0.4384515339148427,0.4347826086956522,0.43395612625500213
6,'b827eb29eb77',0.5588078142197422,0.4970645792563601,0.3292264022365252
7,'b827eb2a1bce',0.4603333628028565,0.4,0.3920225944782195
9,'b827eb329ab8',0.41750403799165975,0.36,0.3735895728905597
10,'b827ebc7f772',0.5948504113970601,0.45106382978723397,0.4673717446765916
